"UnitCode","Year","Visits"
"ASIS",2002,41408062
"ASIS",2003,39361612
"ASIS",2004,40547376
"ASIS",2005,40374551
"ASIS",2006,38293928
"ASIS",2007,41748087
"ASIS",2008,38534023
"ASIS",2009,42142439
"ASIS",2010,40569383
"ASIS",2011,40249991
"ASIS",2012,41482490
"ASIS",2013,39269634
"ASIS",2014,41565694
"ASIS",2015,43331067
"ASIS",2016,43319938
"ASIS",2017,44877472
"ASIS",2018,40752336
"ASIS",2019,44883945
"ASIS",2020,46610762
"ASIS",2021,51058277
"ASIS",2022,44699144
"ASIS",2023,45230206
"ASIS",2024,44018889
"AZRU",1979,290320
"AZRU",1980,284218
"AZRU",1981,324516
"AZRU",1982,304394
"AZRU",1983,308470
"AZRU",1984,291976
"AZRU",1985,290938
"AZRU",1986,312474
"AZRU",1987,309154
"AZRU",1988,397596
"AZRU",1989,434818
"AZRU",1990,404374
"AZRU",1991,452326
"AZRU",1992,477674
"AZRU",1993,421908
"AZRU",1994,410508
"AZRU",1995,368538
"AZRU",1996,336656
"AZRU",1997,316286
"AZRU",1998,320724
"AZRU",1999,297686
"AZRU",2000,264524
"AZRU",2001,235746
"AZRU",2002,240108
"AZRU",2003,214410
"AZRU",2004,228662
"AZRU",2005,222000
"AZRU",2006,206504
"AZRU",2007,200812
"AZRU",2008,195908
"AZRU",2009,195708
"AZRU",2010,191474
"AZRU",2011,210110
"AZRU",2012,227594
"AZRU",2013,213341
"AZRU",2014,231323
"AZRU",2015,281676
"AZRU",2016,297419
"AZRU",2017,271121
"AZRU",2018,282235
"AZRU",2019,329539
"AZRU",2020,157710
"AZRU",2021,292377
"AZRU",2022,258114
"AZRU",2023,238539
"AZRU",2024,200731
"BADL",1979,8757076
"BADL",1980,10011346
"BADL",1981,12477702
"BADL",1982,10785551
"BADL",1983,10773870
"BADL",1984,11698194
"BADL",1985,10050993
"BADL",1986,10846647
"BADL",1987,12320701
"BADL",1988,11736918
"BADL",1989,13067218
"BADL",1990,13920290
"BADL",1991,15361310
"BADL",1992,13344920
"BADL",1993,13116974
"BADL",1994,12783476
"BADL",1995,12118088
"BADL",1996,11386479
"BADL",1997,10743832
"BADL",1998,11094008
"BADL",1999,10708100
"BADL",2000,12350412
"BADL",2001,10695777
"BADL",2002,10063722
"BADL",2003,9803539
"BADL",2004,10409776
"BADL",2005,9969019
"BADL",2006,9223098
"BADL",2007,10112609
"BADL",2008,9215022
"BADL",2009,10449234
"BADL",2010,10592319
"BADL",2011,9751951
"BADL",2012,9821262
"BADL",2013,10392327
"BADL",2014,10260523
"BADL",2015,11356480
"BADL",2016,11757380
"BADL",2017,12265992
"BADL",2018,10982218
"BADL",2019,10567607
"BADL",2020,9922096
"BADL",2021,13071217
"BADL",2022,10841982
"BADL",2023,11159123
"BADL",2024,11921020
"BAND",1979,2489524
"BAND",1980,2617604
"BAND",1981,2900745
"BAND",1982,3154814
"BAND",1983,3009767
"BAND",1984,2970109
"BAND",1985,3389188
"BAND",1986,3215736
"BAND",1987,3720738
"BAND",1988,3396177
"BAND",1989,4065717
"BAND",1990,3758065
"BAND",1991,3795577
"BAND",1992,3910717
"BAND",1993,4023023
"BAND",1994,4510871
"BAND",1995,4172970
"BAND",1996,3499049
"BAND",1997,3789862
"BAND",1998,3527604
"BAND",1999,3498874
"BAND",2000,2430104
"BAND",2001,3077414
"BAND",2002,2941627
"BAND",2003,2847568
"BAND",2004,2608447
"BAND",2005,2502520
"BAND",2006,2392169
"BAND",2007,2233607
"BAND",2008,2120817
"BAND",2009,2243672
"BAND",2010,2086428
"BAND",2011,1887517
"BAND",2012,1594931
"BAND",2013,1470852
"BAND",2014,1505681
"BAND",2015,1842682
"BAND",2016,2163611
"BAND",2017,2344854
"BAND",2018,2378276
"BAND",2019,2305921
"BAND",2020,954786
"BAND",2021,2964686
"BAND",2022,2228413
"BAND",2023,2387788
"BAND",2024,2831679
"BELA",1998,124420
"BELA",1999,132000
"BELA",2000,96200
"BELA",2001,104340
"BELA",2002,94820
"BELA",2003,95710
"BELA",2004,97748
"BELA",2005,92286
"BELA",2006,52662
"BELA",2007,29944
"BELA",2008,32206
"BELA",2009,32564
"BELA",2010,44406
"BELA",2011,36648
"BELA",2012,43866
"BELA",2013,44406
"BELA",2014,44602
"BELA",2015,44406
"BELA",2016,44406
"BELA",2017,44406
"BELA",2018,44406
"BELA",2019,44650
"BELA",2020,121690
"BELA",2021,121690
"BELA",2022,121754
"BELA",2023,121690
"BELA",2024,121754
"BEOL",1979,495958
"BEOL",1980,245484
"BEOL",1981,206296
"BEOL",1982,199432
"BEOL",1983,180778
"BEOL",1984,172484
"BEOL",1985,192942
"BEOL",1986,201472
"BEOL",1987,185374
"BEOL",1988,188364
"BEOL",1989,204808
"BEOL",1990,194444
"BEOL",1991,212268
"BEOL",1992,218742
"BEOL",1993,202214
"BEOL",1994,201224
"BEOL",1995,172522
"BEOL",1996,169382
"BEOL",1997,213244
"BEOL",1998,226086
"BEOL",1999,202480
"BEOL",2000,167538
"BEOL",2001,170434
"BEOL",2002,164070
"BEOL",2003,171860
"BEOL",2004,170304
"BEOL",2005,152684
"BEOL",2006,145662
"BEOL",2007,131738
"BEOL",2008,137508
"BEOL",2009,154724
"BEOL",2010,160162
"BEOL",2011,147634
"BEOL",2012,141982
"BEOL",2013,128280
"BEOL",2014,135048
"BEOL",2015,144204
"BEOL",2016,175712
"BEOL",2017,145182
"BEOL",2018,129590
"BEOL",2019,119206
"BEOL",2020,68410
"BEOL",2021,118716
"BEOL",2022,143310
"BEOL",2023,108448
"BEOL",2024,88562
"BEPA",2016,12886
"BEPA",2017,50406
"BEPA",2018,36248
"BEPA",2019,37714
"BEPA",2020,10224
"BEPA",2021,0
"BEPA",2022,0
"BEPA",2023,8136
"BEPA",2024,30816
"BIBE",1979,17972285
"BIBE",1980,13777996
"BIBE",1981,15356641
"BIBE",1982,16532645
"BIBE",1983,15883938
"BIBE",1984,16426869
"BIBE",1985,17448238
"BIBE",1986,16979280
"BIBE",1987,17957265
"BIBE",1988,16958229
"BIBE",1989,17376588
"BIBE",1990,17553827
"BIBE",1991,19052506
"BIBE",1992,19736922
"BIBE",1993,21838508
"BIBE",1994,21919729
"BIBE",1995,19721455
"BIBE",1996,17847175
"BIBE",1997,19315434
"BIBE",1998,19784919
"BIBE",1999,19531125
"BIBE",2000,16195545
"BIBE",2001,18042475
"BIBE",2002,18871273
"BIBE",2003,17012062
"BIBE",2004,18646868
"BIBE",2005,19462298
"BIBE",2006,16046918
"BIBE",2007,18060741
"BIBE",2008,17828353
"BIBE",2009,18073967
"BIBE",2010,18541953
"BIBE",2011,16922852
"BIBE",2012,15120187
"BIBE",2013,16080945
"BIBE",2014,17138054
"BIBE",2015,20280383
"BIBE",2016,21912765
"BIBE",2017,23486180
"BIBE",2018,22118019
"BIBE",2019,22433392
"BIBE",2020,16690838
"BIBE",2021,23630051
"BIBE",2022,20026140
"BIBE",2023,20552346
"BIBE",2024,24308093
"BICA",1979,4206103
"BICA",1980,4568304
"BICA",1981,4810975
"BICA",1982,5528062
"BICA",1983,5742961
"BICA",1984,5753396
"BICA",1985,7115926
"BICA",1986,6978362
"BICA",1987,6957635
"BICA",1988,6711341
"BICA",1989,6840919
"BICA",1990,6933733
"BICA",1991,7067625
"BICA",1992,6751377
"BICA",1993,4243375
"BICA",1994,4201256
"BICA",1995,3973425
"BICA",1996,3177515
"BICA",1997,1917083
"BICA",1998,2644525
"BICA",1999,2255295
"BICA",2000,2409299
"BICA",2001,2428257
"BICA",2002,1688253
"BICA",2003,2363087
"BICA",2004,1702020
"BICA",2005,2037479
"BICA",2006,1835896
"BICA",2007,2161397
"BICA",2008,1835343
"BICA",2009,2028414
"BICA",2010,2466233
"BICA",2011,1866245
"BICA",2012,2310070
"BICA",2013,2388224
"BICA",2014,2229658
"BICA",2015,2367957
"BICA",2016,2546815
"BICA",2017,2281003
"BICA",2018,2326083
"BICA",2019,2591960
"BICA",2020,2408305
"BICA",2021,2393642
"BICA",2022,2339644
"BICA",2023,2218841
"BICA",2024,2322255
"BICY",1989,592136
"BICY",1990,1079811
"BICY",1991,1292723
"BICY",1992,1871597
"BICY",1993,2472253
"BICY",1994,2967497
"BICY",1995,3490350
"BICY",1996,4275081
"BICY",1997,4568939
"BICY",1998,4675637
"BICY",1999,3942099
"BICY",2000,4619105
"BICY",2001,4892274
"BICY",2002,4950302
"BICY",2003,4391458
"BICY",2004,4244449
"BICY",2005,7490845
"BICY",2006,7134812
"BICY",2007,7715325
"BICY",2008,7616223
"BICY",2009,8194765
"BICY",2010,6258927
"BICY",2011,8592086
"BICY",2012,8513697
"BICY",2013,7893315
"BICY",2014,10395975
"BICY",2015,8966312
"BICY",2016,9786804
"BICY",2017,8096359
"BICY",2018,6509104
"BICY",2019,8853525
"BICY",2020,10984650
"BICY",2021,15932561
